CITY,Gaziantep,Hatay,Adana,Kilis,Kahramanmaras,Sanliurfa,Adiyaman,Osmaniye,Mardin,Malatya,Batman,Mersin
Jan-14,121863,74390,5068,25920,14330,80302,202,9026,38519,0,0,8000
Feb-14,129132,76323,5068,26700,24542,87163,480,9026,39024,0,0,8000
Mar-14,129132,76323,5068,26700,24542,87163,480,9026,39024,0,0,8000
Apr-14,129132,76323,5068,26700,24542,87163,480,9026,39024,0,0,8000
May-14,158707,126408,11800,39691,32292,106822,1530,11794,39293,500,0,8000
Jun-14,165633,134275,18341,44350,34732,108349,2316,12394,39293,616,0,8000
Jul-14,165633,134275,18341,44350,34732,108349,2316,12394,39293,616,0,8000
Aug-14,165633,134275,18341,44350,34732,108349,2316,12394,39293,616,0,8000
Sep-14,182188,142612,43880,55600,37619,194780,3167,15999,39293,1516,4917,8000
Oct-14,186883,169281,47814,56350,40033,198051,3167,16518,39293,1516,5446,44567
Nov-14,199279,185273,64683,60005,42585,198051,3167,17808,39293,2301,9046,54696
Dec-14,207562,195614,74580,62371,43513,198051,6239,18796,39293,3946,10630,54696
Jan-15,207584,224177,81600,64050,48112,215514,6239,19206,39293,4514,11700,54696
Feb-15,202773,236710,83600,64850,45607,215514,6982,19344,52902,4646,12222,54696
Mar-15,204526,259441,86300,66500,46108,243257,7627,19715,55660,4778,12418,54696
